overshoot_degC,settling_time_s,sse_degC,u_max,K,tau,L
0.000000,NaN,9.741001,1.000000,0.258999,6.845949,1.102111
0.000000,NaN,9.766580,1.000000,0.233421,8.687960,1.159795
0.000000,NaN,9.685074,1.000000,0.314927,8.479437,0.904971
0.000000,NaN,9.691124,1.000000,0.308876,8.292125,1.132418
0.000000,NaN,9.666661,1.000000,0.333339,6.927331,0.951277
0.000000,NaN,9.756553,1.000000,0.243448,8.210528,1.144270
0.000000,NaN,9.682316,1.000000,0.317686,9.044434,1.445768
0.000000,NaN,9.727205,1.000000,0.272796,6.930951,1.008390
0.000000,NaN,9.757161,1.000000,0.242839,7.318045,1.450094
0.000000,NaN,9.753577,1.000000,0.246427,9.890311,1.191293
0.000000,NaN,9.716165,1.000000,0.283835,7.168016,1.362408
0.000000,NaN,9.692819,1.000000,0.307181,6.482092,1.297055
0.000000,NaN,9.726214,1.000000,0.273790,9.686972,1.476467
0.000000,NaN,9.735243,1.000000,0.264757,6.195321,1.364670
0.000000,NaN,9.722508,1.000000,0.277492,7.379024,1.031498
0.000000,NaN,9.732739,1.000000,0.267261,7.014834,1.074428
0.000000,NaN,9.752695,1.000000,0.247306,8.344821,1.330924
0.000000,NaN,9.627145,1.000000,0.372855,7.280682,1.386918
0.000000,NaN,9.678265,1.000000,0.321736,8.085922,1.426457
0.000000,NaN,9.745571,1.000000,0.254432,9.339479,1.178560
0.000000,NaN,9.692900,1.000000,0.307100,7.785642,1.340793
0.000000,NaN,9.715215,1.000000,0.284785,6.804472,1.240432
0.000000,NaN,9.696689,1.000000,0.303313,8.971762,1.228077
0.000000,NaN,9.643188,1.000000,0.356813,8.500693,1.412016
0.000000,NaN,9.678621,1.000000,0.321380,8.708877,1.316170
0.000000,NaN,9.639965,1.000000,0.360035,7.061344,0.960774
0.000000,NaN,9.646357,1.000000,0.353643,8.055630,1.052469
0.000000,NaN,9.694918,1.000000,0.305083,7.917336,1.062027
0.000000,NaN,9.630218,1.000000,0.369789,9.858746,1.442214
0.000000,NaN,9.737183,1.000000,0.262820,9.380358,1.077132
0.000000,NaN,9.709383,1.000000,0.290622,9.773501,1.076981
0.000000,NaN,9.656138,1.000000,0.343862,6.065837,1.233920
0.000000,NaN,9.754446,1.000000,0.245557,9.629378,0.910191
0.000000,NaN,9.744202,1.000000,0.255801,9.247694,1.269003
0.000000,NaN,9.663268,1.000000,0.336735,9.249629,1.254004
0.000000,NaN,9.715580,1.000000,0.284422,9.150731,1.495614
0.000000,NaN,9.681687,1.000000,0.318314,7.659441,1.169436
0.000000,NaN,9.727006,1.000000,0.272994,6.724248,1.332270
0.000000,NaN,9.766916,1.000000,0.233084,6.503644,0.935482
0.000000,NaN,9.687744,1.000000,0.312261,9.602794,1.466948
0.000000,NaN,9.701263,1.000000,0.298738,8.284367,0.938136
0.000000,NaN,9.770294,1.000000,0.229706,7.678274,0.999242
0.000000,NaN,9.625738,1.000000,0.374265,9.153328,1.327240
0.000000,NaN,9.680475,1.000000,0.319527,9.023940,1.420957
0.000000,NaN,9.625743,1.000000,0.374263,9.799711,1.073517
0.000000,NaN,9.721519,1.000000,0.278481,6.578514,1.163486
0.000000,NaN,9.714261,1.000000,0.285739,6.499154,1.146305
0.000000,NaN,9.707101,1.000000,0.292899,6.700579,1.115325
0.000000,NaN,9.723327,1.000000,0.276673,6.782612,0.984334
0.000000,NaN,9.733489,1.000000,0.266511,6.025299,1.071237
0.000000,NaN,9.690622,1.000000,0.309384,9.975082,1.275419
0.000000,NaN,9.723989,1.000000,0.276011,7.777966,1.418965
0.000000,NaN,9.636837,1.000000,0.363164,7.010098,0.944562
0.000000,NaN,9.712021,1.000000,0.287979,6.715205,0.918205
0.000000,NaN,9.655677,1.000000,0.344324,8.260033,1.215406
0.000000,NaN,9.704313,1.000000,0.295688,8.639345,1.104328
0.000000,NaN,9.748030,1.000000,0.251970,7.463653,1.144041
0.000000,NaN,9.692188,1.000000,0.307817,9.638104,1.046685
0.000000,NaN,9.656137,1.000000,0.343865,9.119354,0.940227
0.000000,NaN,9.647171,1.000000,0.352831,9.144923,1.336327
